dim	coefficient
438	-1.2278692664861341
439	-1.2537024948372082
440	-1.2440156912420142
441	-1.3250008304794445
442	-1.1972387143282028
443	-1.2119884723026977
444	-1.1727362253323144
445	-1.2731631281136497
446	-1.2268316597217526
447	-1.127309609707468
448	-1.1604587736226533
449	-1.2901678564031576
450	-1.1895848476926805
451	-1.2386705297859724
452	-1.28523308432744
453	-1.3181106758801033
454	-1.1622101618732628
455	-1.1838365018033512
456	-1.2605210226366559
457	-1.2814655042354226
458	-1.1764203241010645
459	-1.245932541961305
460	-1.1681547642836938
461	-1.2081096443258919
462	-1.131302204705435
463	-1.2971211354729333
464	-1.2650531800003197
465	-1.2395036513351911
466	-1.1653238746427133
467	-1.1611263367968712
468	-1.1923471445213596
469	-1.109727440225584
470	-1.3348796844459954
471	-1.2737200682104168
472	-1.224112244645052
473	-1.087686767866732
474	-1.181814748183276
475	-1.090826763278445
476	-1.1649137543539523
477	-1.189048299465487
478	-1.2125346178053464
479	-1.150715346718913
480	-1.065966681974599
481	-1.2241178064556386
482	-1.312634554474118
483	-1.2306069922971408
484	-1.200061448016078
485	-1.1950021598250324
486	-1.2562086915267294
487	-1.1448877895369927
488	-1.3062790330102345
489	-1.1562318647003655
490	-1.2650451479050167
491	-1.231183289625478
492	-1.216962651765479
493	-1.1161271835904913
494	-1.2395455151634143
495	-1.2701795864402357
496	-1.2708628288917694
497	-1.2171125724325083
498	-1.1685124572505914
499	-1.2542929232589533
500	-1.2419399208139055
501	-1.1857435354148536
502	-1.2133841044093558
503	-1.1934347704158232
504	-1.2057253926438394
505	-0.9860591707629355
506	-1.112816611680329
507	-1.1793264534126595
508	-1.2476107234476683
509	-1.2404455523420543
510	-1.216351252803252
511	-1.1773168015930255
512	-1.2227185452187652
513	-1.1542077547137113
514	-1.2696332738665115
515	-1.191754934034057
516	-1.17635361109321
517	-1.1659099896195753
518	-1.2724825350911573
519	-1.1416691559146122
520	-1.2215781886349397
521	-1.220155903223696
522	-1.2250763629705705
523	-1.1051287683245778
524	-1.2839883499232974
525	-1.1815341114917541
526	-1.2814799241641226
527	-1.168988477416763
528	-1.1740827801430005
529	-1.2750150335013715
530	-1.2241335731986571
